걷는길 명칭,코스명,지역1,난이도,상세거리(km),소요시간(시),소개
철새나그네길,02코스 해지게길,충남 서천군,쉬움,3.6,1,"서천 철새 나그네길의 2코스인 해지게길은 동백정에서 시작해 성경 전래지를 지나 마량포구에서 끝이 나는 총 길이 3.3km의 걷기 길이다. 해지게길은 동백정의 동백나무 숲의 푸르름과 마량포구 서해안의 붉은 해돋이가 공존하는 곳이다. 동백정의 동백나무 숲은 천연기념물로 지정되어 있으며 꽃을 볼 수 있는 겨울의 유명 관광지이다. 마량포구에서는 매년 광어, 해돋이 축제가 열리며 마량포구 방파제에서의 해돋이와 해넘이는 장관을 이룬다."
천년 솔바람길,01코스,충남 서천군,보통,12.5,2,"솔바람길을 따라 서천의 역사·문화여행길. 문헌서원, 봉서사, 건지산성, 박경수선생 생가터 등과 연결됨 - 문헌서원 : 고려말 대학자 가정 이곡과 목은 이색 두분을 배향하기 위해 조선 중기 건립된 사액서원 - 건지산성 : 건지산의 정상부근을 에워싼 말안장 모양의 내성과 그 서북쪽 경사면을 둘러싼 외성의 2중 구조로 되어있는 산성이다. 성을 쌓은 시기는 백제 말에서 통일신라 전기로 보고 있으며, 백제 부흥운동의 거점이었던 주류성으로 추정하고 있다."
탕정둘레길,탕정둘레길,충남 아산시,보통,18,8,아산시 탕정면 명암리 일원에 위치한 삼성 테크노벨리 단지를 중심으로 주변을 둘러보고 물한산성과 꾀꼴산성을 연계하여 탕정면 일대를 둘러볼수 있는 코스이다. 탕정둘레길은 주민들이 산책하기 적합하게 4개 코스로 구분했지만 순환해 걷는 코스인 만큼 하루 시간내어 걷기 좋다.
천년의 숲길,"천년비손길, 봉곡사 솔바람길, 긴골재길, 천년물결길",충남 아산시,보통,25.6,12,"아산시의 산림자원 및 지역자원과 관광문화자원을 활용, 숲길 조성을 통한 관광자원화 개발과 급증하는 산림휴양 서비스에 충족하고 2013년 안전행정부 공모사업으로 조성된 천년의 숲길은 자연탐방 및 명상 사색코스(천년비손길, 솔바람길)와 임도를 활용한 수변둘레길(천년물결길), 마을주변 지역주민들이 많이 이용하는 긴골산 등으로 구성되어 있다."
마곡사 솔바람길,"01코스 백범길, 02코스 명상길, 03코스 송림숲길",충남 공주시,보통,19,6,"마곡사 솔바람길은 백범길 산책코스와 명상산책길 트레킹 코스, 송림숲길 등산 코스를 연결한 길이다. 백범길과 명상 산책길은 백범 김구 선생께서 일본군 장교를 살해한 후 마곡사 백련암에서 은거 수행 생활 할 때 구국의 일념으로 사색하는 발자취를 따라 조성됐다. 소나무가 빽빽한 숲길을 걸으며 나라를 걱정했던 뱀범 김구 선생의 마음을 느껴보고 명상에 잠기기 좋은 길이다. 또한 이 코스는 마곡사를 둘러볼 수 있고 인근 자연마을에서 농업체험을 할 수 있다. 다른 길보다 긴시간이 소요되고 코스별로 길의 난이도가 다르므로 자신이 걸을 수 있는 능력에 따라 코스를 선택하는 것이 좋다."
봉화산 솔바람길,01코스,충남 당진시,쉬움,8.2,3,"전체적인 노선은 난코스가 없는 평이한 노선으로 등산로 구간인 3.9km는 울창한 솔숲과 주변 경관을 즐기는 편한 등산의 개념으로 접근하면 좋을듯 하며, 이후 구간은 안국사지, 원동저수지등 주변 농촌의 한적한 경관을 즐기는 산책의 개념이 복합된 노선이다. 출발점이 마을 중간에 위치하므로 자주 설치되어 있는 이정표를 참고하여 솔바람길 시점 주차장까지 이동한다. 주차장에 설치된 종합안내판에 자세한 노선 정보를 참고하고, 노선 중간에 식수공급이 어려우므로 출발전 음용수의 준비는 필수적이다. 노선중 운동시설을 이용가능하고, 조선시대 봉화터 및 국가지정보물 안국사지 석탑 및 석조여래입상이 있어 볼거리가 풍부하며, 이에 대한 문화해설을 안내판으로 자세히 설명하였으므로 어린이의 동반시 역사 교육에 활용할 수 있다."
사계 솔바람길,01코스,충남 계룡시,쉬움,3,1,"사계 솔바람길은 사계고택 뒤 왕대산을 배경으로 조성된 3km의 등산로로서, 왕대산 정상에는 사계 김장생 선생의 삶과 역사의 흔적을 느낄수 있는 안내판 및 편의시설이 설치되어 있어 살아있는 역사공부는 물론 건강도 챙길 수 있는 명품 트레킹 코스이다."
온천과 함께하는 솔바람길,01코스(삽교읍 목리 ~ 덕산면 사동리),충남 예산군,어려움,4.8,2,솔바람길은 천혜의 등산로로 전국적으로 알려진 수암산과 600년 전통의 온천으로 유명한 덕산온천관광지와 연결하여 윤봉길의사의 얼이 서린 충의사등 주변 문화재와 연결되어 남녀노소 누구나 걸을수 있는 길임.
태조산 솔바람길,01코스,충남 천안시 동남구,보통,5.2,2,충청남도 천안시 유량동에서 안서동으로 이어지는 솔바람길은 완만한 산세로 여성 산행인들이 즐겨 찾는 곳이다. 솔바람길은 주변으로 천안의 역사와 문화를 간직한 곳이다 2시간 이내의 짧은 산행이어서 산책이나 가족 산행으로 알맞다. 천안 시민은 주로 원성동 천안시민체육공원(청송사)에서 구름다리를 거쳐 유량동을 지나 성불사 뒤 능선을 따라 각원사와 유왕골 갈림길에서 각원사쪽으로 내려오는 5.3㎞ 길이의 코스를 이용한다. 솔바람길의 백미는 구름다리위에서 맞는 산바람이다. 산행으로 인한 땀방울이 다리위 산바람으로 인해 시원해지는 느낌은 태조산에서만 맛볼 수 있는 또 하나의 자랑거리이다. 산행은 각원사 주차장에서 각원사쪽으로 바라볼 때 청동대불을 거쳐 좌측능선에 올라선 후 절을 한 바퀴 감싸돌며 능선을 타고 주차장 아래 도로변에 도착하게 되는데 2시간도 채 못걸린다. 굴곡없이 평평하고 한적한 능선길이 부담 없어 비가올 때나 달리 갈 데가 없을 때 찾아볼 만한 친근한 곳이다.
억새길,억새길,충남 부여군,쉬움,3,1,- 금강변(금천)에 자연발생적으로 조성된 억새길을 정비하여 생태관광의 기반조성 및 금강권 생태관광과 연계한 친수환경 조성사업의 일환으로 금강변 억새길을 정비하여 걷는 길 조성하였다. - 억새길은 부여군 장암면 원문리에 위치한 곳으로 금강변(금천)에 자연발생적으로 조성된 억새단지에 걷는 길을 조성하여 지역주민 및 관광객이 산책할 수 있도록 조성된 걷기문화길이다.
재너머 사래 긴 밭 가는 숲길,01코스,충남 홍성군,보통,7.2,3,"○ 약천 남구만 선생의 동창이 밝았느냐 노고지리 우지진다로 시작되는 시조를 인용하여 명칭 선정하였으며, 옛날 마을길, 숲길 등을 체험 할 수 있는 공간으로써 자연, 문화, 역사를 아우르는 지역 소통의 장소로 조성하였음. ○ 홍성군 남산과 보개산을 잇는 숲길로 숲길 입구에 치유의 정원(허브식물 등 식재)을 조성하였으며, 편백나무 숲길을 조성하여 숲 치유 기능을 제공함. ○ 홍성군 구항면 내현리 거북이마을과 연계하여 종가음식체험, 거북이체험(전설이 깃는 바위 체험), 전원 시조 체험(약천 남구만선생 시조 등), 명당체험 등 다양한 체험프로그램 제공."
태안 솔향기길,01코스,충남 태안군,어려움,10.2,5.5,"솔향기길 1코스는 만대항에서 여섬 꾸지나무골 해수욕장으로 이어지는 10.2KM의 탐방로로 태안절경을 배경으로 해변과 숲길, 임도를 따라 걸어가면서 주변 지형에 얽힌 여러가지 전설과 경관을 감상할 수 있도록 계획되었다. 생태관찰, 민물.썰물시 해변의 변화를 조망하고 산림욕, 트래킹을 겸할 수 있는 탐방로로 계획되었으며, 특정적인 지형,전설 등을 고려하여 구간별로 테마를 부여하였다."
가야구곡 녹색길,가야구곡 녹색길,충남 예산군,보통,16,4,"덕산도립공원내 가야산 자락의 아름다운 비경 아홉곳에 대한 역사·문화·생태 자원을 활용한 스토리텔링 주제로 옛 가야9곡길 복원하였으며 가야구곡의 유래는 조선 영조 때 병조판서를 지낸 병계 윤봉구(尹鳳九, 1681~1767)선생이 가야계곡의 아름다운 비경인 아홉 곳(관어대, 옥병계, 습운천, 석문담, 영화담, 탁석천, 와룡담, 고운벽, 옥량폭)을 ‘가야구곡’이라 칭하고 문집에 기록해 놓음으로써 비롯되었다. 또한 가야구곡을 따라 산재해 있는 관광자원인 덕산온천, 남연군묘, 덕산향교, 헌종태실, 광덕사, 보덕사, 옥계저수지, 상가저수지, 가야산등 덕산 지역의 역사와 문화를 함께 탐방할 수 있다 ."
부여 백마강길,부여 백마강길,충남 부여군,보통,24,10,"백마강길은 백마강을 둘레로 하는 탐방로로서 찬란했던 백제의 역사와 문화를 체험하면서 걸을 수 있는 길이다. 부소산의 북쪽 편을 감고 도는 백마강은 규암면 호암리 천정대 앞에서 세도면 반조원리까지 약 16km 정도에 이르는 금강의 또 다른 이름이다. 백마강길은 금강의 자연 수변공간을 활용하여 조성된 탐방로로서 녹색성장의 원동력을 그대로 볼 수 있는 곳이기도 하다. 또한 부소산성을 시작으로 하는 탐방길을 걷다보면 백제의 역사가 살아 숨 쉬는 문화재들을 접할 수 있어 마치 나도 그 옛날의 백제인이 된 듯한 느낌을 받게 된다. 백마강길을 거닐며 강에 얽힌 문헌이나 전설, 시가 담긴 석재시비를 감상하면서 백제의 흥망을 묵묵히 지켜본 백마강처럼 우리도 찬란했던 백제를 잊지 않고 기억해야 한다. 백마강길은 탐방의 발걸음을 멈출 때마다 옛 백제의 고도인 부여와 백마강을 가슴에 담을 수 있는 좋은 길이라 생각된다."
녹색길,바다사랑길,충남 당진시,쉬움,6,2,"전체적인 노선은 해안가 산책코스로 바다경관과 서해대교를 보며 걸을수 있는 편한 개념으로 접근하면 좋을듯한 노선이다. 출발점이 삽교바다공원 끝에서 시작되어 이정표를 참고하여 매산공원까지 이동한다. 시점부에 설치된 종합안내판에 자세한 노선 정보를 참고하고, 삽교호 관광지 인근에 위치하여 볼거리와 먹거리가 풍부하여 가벼운 마음으로 가족과 함께 할수 있는 좋은길이다."
고마나루 명승길,01코스,충남 공주시,보통,14,4.5,"천리비단길 금강이 에둘러 흐르는 강나루, 고마나루에 가면 백제의 고도 공주를 이야기하지 않을 수 없다. 아득한 옛날부터 전해오는 암곰에 얽힌 애잔한 전설 서린 ‘고마나루’는 백제의 한 시기 ‘웅진’이라는 지명의 유래가 되기 때문. 고마나루에서 시작하여 고마나루로 돌아오는 고마나루명승길을 걷노라면 백제 웅진시대의 역사문화를 돌아보고 조선시대부터 근?현대 공주의 역사문화와 함께 아름다운 자연과 명소를 두루 만나게 된다."
내포문화숲길,09코스 내포 천주교 순례길,충남 당진시,매우쉬움,10,3,"우리나라 최초의 천주교 신부인 김대건 신부의 탄생지인 솔뫼성지를 비롯하여 내포의 사도라 불리우는 이존창 생가지(여사울성지), 홍주성지, 해미성지를 연결하는 내포천주교 순례길이며, 내포지역은 충청도에서 최초의 복음의 빛이 전파된 곳으로 한국교회의 발상지라 할 정도로 우리나라 천주교 역사의 큰 중심으로 내포지역에서는 수 많은 천주교 신자들이 활동한 근거지 였으며 해미성지와 홍주성지에서 수많은 신자들이 처형당한 박해지였기에 현재에도 수많은 성지와 사적지가 있어 매년 수천명의 천주교 순례객들이 찾는 순례지로 유명하다."
내포문화숲길,10코스 내포 천주교 순례길,충남 예산군,쉬움,23.8,6,충청도 지역에 처음으로 복음을 전파한 내포의 사도 이존창이 태어난 신암면 신종리 여사울에서 출발하여 삽교읍 용동리 마르티노 인언민 탄생지에서 잠시 쉬었다가 덕산면 충의사를 지나 덕산면 대치리 한티고개까지 이어지는 천주교순례길이다.
내포문화숲길,내포 천주교 순례길,충남 홍성군,매우쉬움,11.8,3.5,"홍성지역은 수많은 천주교 신자들이 활동한 근거지였으면 홍주 생매장터와 안장터, 홍주옥사, 전영장의 동헌, 조양문, 홍주성 등 성지 등이 있어 매년 수천명의 천주교 순례객들이 찾는 순례지로서 유명하다."
내포문화숲길,백제부흥군길,충남 당진시,보통,29.2,8.5,서기 660년 외세인 당나라를 끌어들인 신라에 의해 멸망의 길로 접어든 백제를 다시 세우고자 내포지역을 중심으로 백제부흥운동이 일어났다. 나라를 잃은 슬픔을 적극적인 부흥운동을 통해 극복하고 다시 나라를 세우고자 당시 최강대국 당나라에 맞서 항전한 자주적이며 전투적인 부흥운동이었는데 당과 신라의 연합 침략에 무너진 백제를 다시 세우는 부흥운동의 최초의 거점지이자 최후를 맞이한 곳이 바로 내포지역이다. 구국의 일념으로 3년여에 걸쳐 대군에 맞서 싸운 부흥군의 정신은 바로 내포정체성의 근간을 이루고 있다고 할 수 있으며 바로 그 정신을 이어가는 것이 내포정신을 계승하는 길이다. 충의와 구국정신의 모태가 된 백제부흥군의 발자취를 따라 걷는 백제부흥군길은 내포의 정체성을 회복하고 계승하는데 의미가 있다. 이제 몸을 던져 나라를 구하고자 했던 내포지역 백제부흥군들의 흔적을 따라 그 시절의 백제부흥군이 되어 구국의 길을 따라 걸어 보자.
